escenario,exactitud,precision,exhaustividad,f1,tfp
Solo URL,0.9831336512737001,0.9937096225773546,0.9818578867797749,0.9877482044782425,0.01399394856278366
Solo HTML (TF-IDF),0.9320693265092475,0.9476404869101217,0.9546447169494373,0.9511297071129707,0.11875945537065052
Solo Hipervinculos,0.8300569966267303,0.8267384346814082,0.9546447169494373,0.8860996335854058,0.45045385779122543
Sistema Hibrido,0.9908107479353263,0.9977966101694915,0.9889131530320847,0.9933350206698726,0.004916792738275341
